email_id,true_label,source,phishing_characteristics,phishing_persuasion,phishing_final_assessment,etiquette,content,personalization,personalization_persuasion
0,1,Nazario,1,1,1,1,1,0,0
1,1,Nazario,1,1,1,1,1,0,1
2,1,Nazario,1,1,1,1,1,0,1
3,1,Nazario,1,1,1,0,1,0,1
4,1,Nazario,0,0,0,1,1,0,1
5,1,Nazario,0,1,1,1,1,0,1
6,1,Nazario,1,0,1,0,0,0,1
7,1,Nazario,1,1,1,1,1,0,1
8,1,Nazario,1,1,1,1,1,0,1
9,1,Nazario,1,1,1,1,1,1,1
10,1,Nazario,1,1,1,1,1,0,1
11,1,Nazario,0,1,1,1,1,0,1
12,1,Nazario,0,1,1,1,1,0,1
13,1,Nazario,1,0,1,1,1,0,1
14,1,Nazario,1,1,1,0,1,0,1
15,1,Nazario,0,0,0,1,1,0,1
16,1,Nazario,1,1,1,0,1,0,1
17,1,Nazario,0,0,0,1,1,0,1
18,1,Nazario,1,1,1,1,1,0,1
19,1,Nazario,1,1,1,1,1,0,1
20,1,Nazario,1,1,1,1,1,0,1
21,1,Nazario,1,1,1,1,1,0,1
22,1,Nazario,1,1,1,1,1,0,1
23,1,Nazario,1,1,1,1,1,0,1
24,1,Nazario,1,1,1,1,1,0,1
25,1,Nazario,1,1,1,0,0,0,1
26,1,Nazario,1,1,1,0,0,0,1
27,1,Nazario,1,1,1,0,1,0,1
28,1,Nazario,1,1,1,1,1,0,1
29,1,Nazario,1,1,1,1,1,0,1
30,1,Nazario,1,1,1,0,0,0,1
31,1,Nazario,1,1,1,0,1,0,0
32,1,Nazario,1,1,1,1,1,0,1
33,1,Nazario,1,1,1,1,1,0,1
34,1,Nazario,0,0,0,1,1,0,1
35,1,Nazario,1,1,1,1,1,0,1
36,1,Nazario,0,1,1,0,1,0,1
37,1,Nazario,1,1,1,1,1,0,1
38,1,Nazario,1,1,1,0,1,0,1
39,1,Nazario,1,1,1,0,1,0,1
40,1,Nazario,1,1,1,1,1,0,1
41,1,Nazario,1,1,1,1,1,0,1
42,1,Nazario,0,0,0,1,1,0,1
43,1,Nazario,0,1,1,1,1,0,1
44,1,Nazario,1,1,1,1,1,0,1
45,1,Nazario,1,1,1,1,1,0,1
46,1,Nazario,0,0,0,1,1,0,1
47,1,Nazario,0,0,0,1,1,0,1
48,1,Nazario,1,1,1,1,1,0,1
49,1,Nazario,0,0,0,1,1,0,1
50,1,Nazario,1,1,1,1,1,0,1
51,1,Nazario,1,1,1,1,1,0,1
52,1,Nazario,1,1,1,1,1,0,1
53,1,Nazario,0,1,1,1,1,0,1
54,1,Nazario,1,1,1,1,1,0,1
55,1,Nazario,1,1,1,1,1,0,1
56,1,Nazario,1,1,1,1,1,0,1
57,1,Nazario,1,1,1,1,1,0,1
58,1,Nazario,1,1,1,1,1,0,1
59,1,Nazario,1,1,1,1,1,0,1
60,1,Nazario,1,1,1,1,1,0,1
61,1,Nazario,1,1,1,1,1,0,1
62,1,Nazario,1,1,1,0,1,0,1
63,1,Nazario,1,1,1,0,0,0,1
64,1,Nazario,0,0,0,1,1,0,1
65,1,Nazario,1,0,1,1,1,0,1
66,1,Nazario,0,0,0,0,1,0,1
67,1,Nazario,1,1,1,1,1,1,1
68,1,Nazario,1,1,1,1,1,0,1
69,1,Nazario,1,0,1,1,1,0,1
70,1,Nazario,1,1,1,0,0,0,1
71,1,Nazario,1,1,1,0,1,0,1
72,1,Nazario,1,1,1,1,1,0,1
73,1,Nazario,0,0,0,1,1,0,1
74,1,Nazario,1,1,1,1,1,0,1
75,1,Nigerian Fraud,1,1,1,1,1,0,1
76,1,Nigerian Fraud,1,1,1,0,0,0,0
77,1,Nigerian Fraud,1,1,1,0,0,0,1
78,1,Nigerian Fraud,1,1,1,0,0,0,0
79,1,Nigerian Fraud,1,1,1,0,0,0,0
80,1,Nigerian Fraud,1,1,1,0,0,0,0
81,1,Nigerian Fraud,1,1,1,0,1,0,0
82,1,Nigerian Fraud,1,1,1,1,1,0,0
83,1,Nigerian Fraud,1,1,1,1,1,0,0
84,1,Nigerian Fraud,1,1,1,1,1,0,1
85,1,Nigerian Fraud,1,1,1,0,0,0,0
86,1,Nigerian Fraud,1,1,1,1,1,0,1
87,1,Nigerian Fraud,1,1,1,0,1,0,0
88,1,Nigerian Fraud,0,1,1,1,1,0,1
89,1,Nigerian Fraud,1,1,1,1,0,0,0
90,1,Nigerian Fraud,1,1,1,0,0,0,0
91,1,Nigerian Fraud,1,1,1,1,1,0,0
92,1,Nigerian Fraud,0,1,1,1,1,0,1
93,1,Nigerian Fraud,0,0,0,1,1,0,1
94,1,Nigerian Fraud,1,1,1,0,0,0,0
95,1,Nigerian Fraud,1,1,1,0,0,0,0
96,1,Nigerian Fraud,1,1,1,0,0,0,1
97,1,Nigerian Fraud,1,1,1,0,0,0,0
98,1,Nigerian Fraud,1,1,1,0,0,0,0
99,1,Nigerian Fraud,0,1,1,1,1,0,1
100,1,Nigerian Fraud,1,1,1,1,1,0,1
101,1,Nigerian Fraud,0,1,1,1,1,0,1
102,1,Nigerian Fraud,1,1,1,0,0,0,0
103,1,Nigerian Fraud,1,1,1,0,1,0,0
104,1,Nigerian Fraud,1,1,1,0,0,0,0
105,1,Nigerian Fraud,1,1,1,0,1,0,1
106,1,Nigerian Fraud,1,1,1,1,1,0,1
107,1,Nigerian Fraud,1,1,1,0,0,0,0
108,1,Nigerian Fraud,1,1,1,0,0,0,0
109,1,Nigerian Fraud,1,1,1,0,1,0,0
110,1,Nigerian Fraud,1,1,1,1,0,0,0
111,1,Nigerian Fraud,0,1,1,1,1,0,1
112,1,Nigerian Fraud,1,1,1,0,0,0,0
113,1,Nigerian Fraud,1,1,1,0,0,0,0
114,1,Nigerian Fraud,1,1,1,0,0,0,0
115,1,Nigerian Fraud,1,1,1,0,0,0,0
116,1,Nigerian Fraud,1,0,1,1,1,0,1
117,1,Nigerian Fraud,1,1,1,0,0,0,0
118,1,Nigerian Fraud,0,0,0,1,1,0,1
119,1,Nigerian Fraud,1,1,1,0,0,0,0
120,1,Nigerian Fraud,0,1,1,0,1,0,0
121,1,Nigerian Fraud,1,1,1,0,0,0,0
122,1,Nigerian Fraud,1,1,1,0,0,0,0
123,1,Nigerian Fraud,1,1,1,0,0,0,0
124,1,Nigerian Fraud,1,1,1,0,0,0,0
125,1,Nigerian Fraud,1,1,1,0,1,0,0
126,1,Nigerian Fraud,1,1,1,0,1,0,0
127,1,Nigerian Fraud,1,0,1,1,1,0,0
128,1,Nigerian Fraud,1,1,1,0,0,0,0
129,1,Nigerian Fraud,0,0,0,1,1,0,0
130,1,Nigerian Fraud,1,1,1,0,0,0,0
131,1,Nigerian Fraud,1,1,1,0,0,0,0
132,1,Nigerian Fraud,0,0,0,0,1,0,0
133,1,Nigerian Fraud,1,1,1,1,1,0,1
134,1,Nigerian Fraud,1,1,1,1,1,0,0
135,1,Nigerian Fraud,1,1,1,0,0,0,0
136,1,Nigerian Fraud,1,1,1,0,0,0,0
137,1,Nigerian Fraud,1,1,1,0,0,0,0
138,1,Nigerian Fraud,1,1,1,0,1,0,0
139,1,Nigerian Fraud,1,1,1,0,0,0,0
140,1,Nigerian Fraud,1,1,1,0,0,0,0
141,1,Nigerian Fraud,0,0,0,1,1,0,1
142,1,Nigerian Fraud,1,1,1,1,1,0,0
143,1,Nigerian Fraud,0,1,1,0,1,0,1
144,1,Nigerian Fraud,1,1,1,0,0,0,0
145,1,Nigerian Fraud,1,1,1,0,0,0,0
146,1,Nigerian Fraud,1,1,1,0,0,0,0
147,1,Nigerian Fraud,1,1,1,0,1,0,1
148,1,Nigerian Fraud,1,1,1,0,1,0,1
149,1,Nigerian Fraud,1,1,1,0,0,0,0
150,1,CEAS_08,1,0,1,0,0,0,1
151,1,CEAS_08,1,1,1,0,0,0,0
152,1,CEAS_08,1,1,1,0,0,0,0
153,1,CEAS_08,1,1,1,0,0,0,1
154,1,CEAS_08,0,0,0,0,0,0,1
155,1,CEAS_08,0,0,0,1,1,0,1
156,1,CEAS_08,0,0,0,0,0,0,1
157,1,CEAS_08,0,0,0,1,1,0,1
158,1,CEAS_08,0,0,0,1,1,0,1
159,1,CEAS_08,1,1,1,1,1,0,1
160,1,CEAS_08,0,0,0,0,0,0,0
161,1,CEAS_08,1,0,1,1,1,0,1
162,1,CEAS_08,0,1,1,0,0,0,0
163,1,CEAS_08,1,1,1,0,0,0,0
164,1,CEAS_08,1,1,1,0,0,0,0
165,1,CEAS_08,1,0,1,1,1,0,1
166,1,CEAS_08,0,0,0,1,1,0,1
167,1,CEAS_08,1,1,1,0,0,0,0
168,1,CEAS_08,0,0,0,1,1,1,1
169,1,CEAS_08,1,1,1,0,0,0,0
170,1,CEAS_08,0,0,0,0,0,0,0
171,1,CEAS_08,0,1,1,0,0,0,1
172,1,CEAS_08,0,1,1,0,0,0,1
173,1,CEAS_08,1,1,1,0,0,0,1
174,1,CEAS_08,1,1,1,1,1,0,0
175,1,CEAS_08,0,0,0,0,0,0,0
176,1,CEAS_08,0,0,0,1,1,0,1
177,1,CEAS_08,1,0,1,0,1,0,1
178,1,CEAS_08,1,1,1,0,0,0,0
179,1,CEAS_08,0,0,0,1,1,0,1
180,1,CEAS_08,1,1,1,0,0,0,0
181,1,CEAS_08,1,1,1,0,0,0,0
182,1,CEAS_08,1,1,1,0,0,0,0
183,1,CEAS_08,0,0,0,0,0,0,0
184,1,CEAS_08,0,0,0,1,1,0,1
185,1,CEAS_08,0,0,0,1,1,0,1
186,1,CEAS_08,1,0,1,1,1,0,1
187,1,CEAS_08,1,1,1,0,1,0,1
188,1,CEAS_08,1,1,1,0,0,0,0
189,1,CEAS_08,1,1,1,0,0,0,0
190,1,CEAS_08,1,0,1,0,1,0,1
191,1,CEAS_08,0,0,0,1,1,0,1
192,1,CEAS_08,0,0,0,1,1,0,1
193,1,CEAS_08,1,1,1,0,1,0,0
194,1,CEAS_08,0,0,0,1,1,0,1
195,1,CEAS_08,0,1,1,1,1,0,0
196,1,CEAS_08,0,0,0,1,1,1,1
197,1,CEAS_08,1,1,1,0,0,0,0
198,1,CEAS_08,0,0,0,1,1,0,1
199,1,CEAS_08,1,0,1,0,0,0,0
200,1,CEAS_08,1,1,1,0,0,0,0
201,1,CEAS_08,0,0,0,1,1,0,1
202,1,CEAS_08,1,0,1,0,0,0,0
203,1,CEAS_08,0,0,0,1,1,0,1
204,1,CEAS_08,1,0,1,0,1,0,1
205,1,CEAS_08,0,0,0,0,0,0,1
206,1,CEAS_08,1,1,1,0,0,0,0
207,1,CEAS_08,0,0,0,1,1,0,1
208,1,CEAS_08,1,1,1,0,1,0,1
209,1,CEAS_08,1,0,1,1,1,0,1
210,1,CEAS_08,1,1,1,0,0,0,0
211,1,CEAS_08,0,0,0,1,1,0,1
212,1,CEAS_08,1,0,1,0,1,0,0
213,1,CEAS_08,0,0,0,1,1,0,1
214,1,CEAS_08,0,0,0,1,1,0,1
215,1,CEAS_08,0,0,0,1,1,0,0
216,1,CEAS_08,0,0,0,1,1,1,1
217,1,CEAS_08,0,0,0,1,1,0,1
218,1,CEAS_08,0,1,1,1,1,0,1
219,1,CEAS_08,0,0,0,0,0,0,0
220,1,CEAS_08,1,1,1,0,0,0,0
221,1,CEAS_08,0,0,0,0,0,0,0
222,1,CEAS_08,0,1,1,1,1,0,1
223,1,CEAS_08,1,0,1,0,0,0,0
224,1,CEAS_08,0,0,0,1,1,0,1
225,0,CEAS_08,0,0,0,1,1,0,1
226,0,CEAS_08,0,0,0,1,1,1,1
227,0,CEAS_08,0,0,0,1,1,0,1
228,0,CEAS_08,0,0,0,1,1,0,1
229,0,CEAS_08,0,0,0,1,1,0,1
230,0,CEAS_08,0,0,0,1,1,0,1
231,0,CEAS_08,0,0,0,1,1,0,1
232,0,CEAS_08,0,0,0,1,1,0,1
233,0,CEAS_08,0,0,0,1,1,0,1
234,0,CEAS_08,0,0,0,1,0,0,1
235,0,CEAS_08,0,0,0,1,1,0,1
236,0,CEAS_08,0,0,0,1,1,0,1
237,0,CEAS_08,0,0,0,1,1,0,1
238,0,CEAS_08,0,0,0,1,1,0,1
239,0,CEAS_08,0,0,0,0,0,0,1
240,0,CEAS_08,0,0,0,1,1,0,1
241,0,CEAS_08,0,0,0,1,1,0,1
242,0,CEAS_08,0,0,0,1,1,0,1
243,0,CEAS_08,0,0,0,1,1,0,1
244,0,CEAS_08,0,0,0,1,1,0,1
245,0,CEAS_08,0,0,0,1,1,0,1
246,0,CEAS_08,0,0,0,1,1,0,1
247,0,CEAS_08,0,0,0,1,1,0,1
248,0,CEAS_08,0,0,0,1,1,0,1
249,0,CEAS_08,0,0,0,1,1,0,1
250,0,CEAS_08,0,0,0,1,1,0,1
251,0,CEAS_08,0,0,0,1,1,0,1
252,0,CEAS_08,0,0,0,1,1,0,1
